id,slug,site,enricher_carrier_type,photo_count,about,verified
307,jerryrobbinsmechanicalservices,,,1,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",1
308,martinserviceheatingairconditioninginc,,mobile,2,{},1
309,completeserviceheatingcoolingllcal25019,,mobile,4,{},1
310,airlogisticsheatingairconditioning,,,57,"{""Service options"": {""Online estimates"": false}}",1
311,associatedcoolingheating,http://associatedbham.com/,mobile,1,"{""From the business"": {""Small business"": true}, ""Service options"": {""Online estimates"": false, ""Onsite services"": false, ""Language assistance"": ""English""}, ""Offerings"": {""Repair services"": true}}",1
312,buddysrefrigerationllc,http://www.icebuddy.com/,mobile,,"{""Offerings"": {""Repair services"": true}}",0
313,stclairmechanicalllc,,mobile,,"{""Service options"": {""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",1
314,broconmechanicalheatingair,,mobile,3,"{""Offerings"": {""Repair services"": true}}",1
315,savinghandspropertymaintenancehomerepairllc,,,4,{},1
316,70degreesheatingcooling,,mobile,12,{},1
317,htrservicesllc,,mobile,,{},1
318,sunbeltrentalspowerhvac,https://www.sunbeltrentals.com/location/al/birmingham/power-hvac-equipment-rentals/95/?utm_source=gmb,"fixed line",20,{},1
319,911airllc,,,1,"{""Offerings"": {""Repair services"": true}}",0
320,progressiveheatingandcoolingllc,http://progressivehvac.com/,mobile,1,"{""Offerings"": {""Repair services"": true}}",1
321,nicksheatingandcooling1,https://callnicksheatingandcooling.com/hoover-hvac-contractor/,,22,"{""Offerings"": {""Repair services"": true}}",1
322,hooverheatingcooling,,landline,14,{},1
323,actionairllc1,http://www.actionairllc.com/,"fixed line",4,{},1
324,trheatingandair,,mobile,5,{},1
325,centralairsolutions,https://centralairsolutionsllc.com/,mobile,85,"{""From the business"": {""Small business"": true}, ""Service options"": {""Online estimates"": true, ""Language assistance"": ""English""}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
326,rickthomasonplumbingheatingcooling,,"fixed line",1,{},0
327,mabrycontractinggroup,,,1,{},0
328,searsheatingandairconditioning,https://www.searshomeservices.com/locations/hi/hvac/al/hoover?utm_source=GMBlisting,"fixed line",22,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
329,autumnairhomeservices,,mobile,24,"{""Payments"": {""Credit cards"": true}}",1
330,daikinappliedserviceandpartsstore,https://www.daikinapplied.com/daikin-locators/alabama,"fixed line",6,"{""Offerings"": {""Repair services"": true}}",1
331,homeservicesatthehomedepot,https://www.homedepot.com/l/Hoover/AL/Birmingham/35244/881/services?emt=HSGMBGoogleMaps,,18,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Parking"": {""On-site parking"": true}}",1
332,bennettsheatingandcooling,,,6,{},1
333,comforttechnology,http://www.comforttechnologyllc.com/,mobile,13,{},1
334,homeservicesatthehomedepot1,https://www.homedepot.com/l/Eastwood/AL/Birmingham/35210/880/services?emt=HSGMBGoogleMaps,,17,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Parking"": {""On-site parking"": true}}",1
335,waynebrohvac,,mobile,35,{},1
336,bojiffyheatingandairconditioning,http://bojiffy.contractorplus.com/,mobile,38,{},1
337,hvacmedicheatingcooling,http://hvacmedic1.com/?utm_source=gmb,landline,3,{},1
