id,slug,site,enricher_carrier_type,photo_count,about,verified
138,brandonthomasllc,https://brandonthomasllc.com/,,10,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as women-owned"": true}}",0
139,quicksolutionllc,,,90,"{""From the business"": {""Identifies as Latino-owned"": true}, ""Service options"": {""Language assistance"": ""Spanish""}, ""Other"": {""Identifies as Latino-owned"": true}}",0
140,stegallheatingairconditioningandplumbing,https://callstegall.com/,"fixed line",10,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
141,birminghamheatingandairconditioning,,,6,"{""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
142,coolrayheatingcoolingplumbingelectrical1,https://www.coolray.com/al/birmingham?category=ggmb,"fixed line",38,"{""From the business"": {""Small business"": true}, ""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
143,temperaturepro,https://temperatureprobirmingham.com/?utm_source=google,voip,30,"{""Service options"": {""Online estimates"": false, ""Onsite services"": false}, ""Offerings"": {""Repair services"": true}}",1
144,grissombrotherservicecompanyhvac,https://grissomservice.com/,,22,"{""From the business"": {""Small business"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
145,fairemergencyhvacrepair,,,,"{""Payments"": {""Credit cards"": true}}",1
146,superiorcomfortheatingandcoolingllc,http://superiorcomfortheatingcooling.com/,,36,{},1
147,hillerplumbingheatingcoolingelectricalformerlyservicetechinc1,https://happyhiller.com/locations/birmingham/?utm_source=gmb,,20,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
148,birminghamhvacsolutions,,,3,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",1
149,hitechptacservicesalabama,http://www.hitechptacservicesalabama.com/,landline,14,"{""From the business"": {""Identifies as Asian-owned"": true, ""Identifies as Black-owned"": true, ""Identifies as disabled-owned"": true, ""Identifies as Indigenous-owned"": true, ""Identifies as Latino-owned"": true, ""Identifies as LGBTQ+ owned"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true, ""Small business"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Repair services"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as Black-owned"": true, ""LGBTQ+ friendly"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true, ""Identifies as Latino-owned"": true, ""Identifies as Asian-owned"": true, ""Identifies as LGBTQ+ owned"": true, ""Identifies as disabled-owned"": true, ""Identifies as Indigenous-owned"": true}}",1
150,tigermechanicalservice,,mobile,17,"{""Offerings"": {""Repair services"": true}}",1
151,hvac911birmingham,https://hvac911.com/find-a-service-tech/birmingham-service-techs/,landline,15,{},1
152,yourchoicehvacservice,,,7,"{""Service options"": {""Online estimates"": true, ""Language assistance"": ""English""}, ""Planning"": {""Appointment required"": true}}",1
153,birminghamhvac,,,1,"{""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
154,birminghamheatingairconditioning,,,2,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",1
155,onesourceheatingcoolingelectrical1,https://www.onesourceair.com/,voip,77,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Repair services"": true}}",1
156,3dairservicesllc,https://3dairserve.com/,,1,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
157,skeltonsheatingcoolingplumbing,http://www.skeltonsair.com/locations/birmingham/?utm_source=google-gbp,mobile,93,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
158,hvachomepros,https://www.hvachomepros.com/,,131,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",1
159,wilbursairconditioningheatingplumbing,https://www.wilbur1.com/?utm_source=google,mobile,39,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Repair services"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",1
160,airloc,http://www.airloc.net/,mobile,22,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",1
161,gentlebreezecoolingandheating,,mobile,1,"{""Offerings"": {""Repair services"": true}}",1
162,sullivanserviceco,http://sullivanserviceco.com/,,7,{},1
163,simplicomfortllc,https://simplicomfort.com/,mobile,28,"{""Offerings"": {""Repair services"": true}}",1
164,plusoneheatingandair,https://www.plusoneheatingandair.com/,,23,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
165,coolbreezeinc,https://coolbreezeinc.com/,"fixed line",433,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
166,aireservofbirmingham,https://www.aireserv.com/birmingham/?cid=LSTL_ASV-US000187,"fixed line",575,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Repair services"": true}}",1
167,airexperts,https://www.theairexperts.net/?utm_source=google,,78,"{""From the business"": {""Small business"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair accessible restroom"": false}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
168,cooltechairconditioningsolutions,,mobile,1,"{""Offerings"": {""Repair services"": true}}",1
169,topsolutionscoolingheating,https://tophvacsolutions.com/vestavia-hills-al/,landline,1,"{""Offerings"": {""Repair services"": true}}",1
170,casperheatingandcooling,https://www.casper-hvac.com/,,18,"{""Service options"": {""Online estimates"": false}, ""Offerings"": {""Repair services"": true}}",1
171,homecommercialservicesllc,https://hollandhcs.com/,,4,"{""From the business"": {""Identifies as women-owned"": true, ""Small business"": true}, ""Offerings"": {""Repair services"": true}, ""Other"": {""Identifies as women-owned"": true}}",1
172,nicksheatingandcooling,https://callnicksheatingandcooling.com/birmingham-hvac-contractor/,,24,"{""Service options"": {""Onsite services"": true}}",1
173,airservicepros,http://bucketserviceshvac.com/,mobile,7,"{""From the business"": {""Identifies as women-owned"": true}, ""Other"": {""Identifies as women-owned"": true}}",1
174,freedomheatingcooling,https://www.freedomhvacal.com/?utm_source=google-business-profile,"fixed line",121,"{""Service options"": {""Online estimates"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
175,overflowheatingcoolingllc,https://overflowheatingcooling.com/,mobile,16,"{""Offerings"": {""Repair services"": true}}",1
176,skywardheatingairplumbing,https://callskyward.com/?utm_source=google-business-listing,"fixed line",2,"{""Offerings"": {""Repair services"": true}}",1
177,onehourairconditioningheating,https://birminghamonehour.com/?utm_source=GBP,mobile,34,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Repair services"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Planning"": {""Appointment required"": true}}",1
178,jcsheatingandcoolingcoinc,http://jcsheatingandcooling.com/,"fixed line",5,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
179,norrellserviceexperts,https://www.norrellserviceexperts.com/,voip,34,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Planning"": {""Appointment required"": true}}",1
180,airservicesinc,,,,"{""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
181,standardheatingcoolingplumbing,https://www.standardheatingandairconditioning.com/,,46,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}, ""Parking"": {""Free street parking"": true}}",1
182,ethridgeheatingandair,https://ethridgehvac.com/,"fixed line",6,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Offerings"": {""Repair services"": true}}",1
183,airtechmechanicalcontractorsllc,,mobile,25,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as Black-owned"": true}}",1
184,xcaliburservices,https://xcaliburservice.com/?utm_source=Google,,65,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",1
185,paradiseheatingandair,http://paradiseheatingandairal.com/,,35,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
186,aadvantageairinc,https://smartcaresolutions.com/providers/a-advantage-air/?utm_source=gbp,mobile,23,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",1
187,serviceandinstall1,,,5,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": false, ""Language assistance"": ""English""}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as Black-owned"": true, ""LGBTQ+ friendly"": true}}",1
188,perfectserviceheatingair,https://www.perfecthvac.com/service-areas/trussville-al-hvac-company/,,100,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
189,douglascoolingheatingplumbingelectrical,https://www.douglascoolingandheating.com/?utm_source=gbp,,181,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Repair services"": true}}",1
190,wcwrightsoninc,https://www.wcwright.com/,,12,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Parking"": {""On-site parking"": true}}",1
191,birminghamserviceexperts,,,8,{},1
192,westernsalesservicesinc,https://westernsalesandservices.com/?utm_source=gmb-listing,"fixed line",377,"{""Service options"": {""Onsite services"": true}, ""Planning"": {""Appointment required"": true}}",1
193,jjhvacservices,,mobile,62,"{""Offerings"": {""Repair services"": true}}",1
194,elevenheatingandcoolingllc,https://elevenhvac.com/,,16,"{""From the business"": {""Small business"": true}, ""Offerings"": {""Repair services"": true}}",1
195,205hvacandelectrical1,,"fixed line",2,{},1
196,birminghamheatingandairservices,,,1,"{""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
197,sentryheatingairconditioningplumbingelectrical,https://sentryheating.com/,,18,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
198,fivestarcooling,http://acrepairbirmingham.com/,,5,"{""Offerings"": {""Repair services"": true}}",1
199,zeltmanheatingair,http://www.zeltmanair.com/,landline,3,{},1
200,xcaliburhomeservices,http://www.xcaliburservice.com/,"fixed line",2,{},1
201,bbheatingcooling,,mobile,6,"{""Offerings"": {""Repair services"": true}}",1
202,hardyservices,http://hardyserv.com/,"fixed line",7,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Offerings"": {""Repair services"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",1
203,vulcanmechanicalservices,https://vulcanac.com/,,3,"{""Offerings"": {""Repair services"": true}}",1
204,schoettlinmechanicalcontractors,https://www.facebook.com/profile.php?id=100073995957849,mobile,32,{},1
205,carterserviceshvacservicereliablehvacrepair1,,mobile,3,"{""From the business"": {""Identifies as Black-owned"": true}, ""Service options"": {""Online estimates"": true}, ""Other"": {""Identifies as Black-owned"": true}}",1
206,mcnealandsonselectricalhvac,,mobile,93,{},1
207,optimumservicegroup,https://callosg.com/,landline,1,{},1
208,eagleservicecompany,https://eagleservicecompany.com/,,6,"{""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true, ""NFC mobile payments"": true}}",1
209,birminghamheatingairconditioning1,,,3,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
210,expertairsystemsllc,,mobile,,{},1
211,happeezairconditioningandheating,https://happeezhvac.com/,mobile,16,"{""From the business"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English""}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}}",1
212,eaheatingandcoolingprosllc,,mobile,44,{},1
213,actionairllc,http://www.birminghamacrepair.com/,mobile,1,{},1
214,rwheatingandairllc,,mobile,,{},1
215,burchcorporation,http://www.burchcorp.com/,"fixed line",3,"{""Offerings"": {""Repair services"": true}}",1
216,goodiesheatingair,https://goodieshvac.com/,mobile,,{},1
217,esiservices,http://esientourageservices.com/?utm_source=gmb,"fixed line",11,{},1
218,affordableairconditingasap,,,7,{},1
219,iveymechanicalco,http://iveymechanical.com/,"fixed line",1,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",1
220,3kingsheatingair,,mobile,,{},1
221,hhcontrolledcomfortsystems,,mobile,47,{},1
222,johnsoncontrolsbirminghambranchoffice,http://www.johnsoncontrols.com/,voip,8,{},1
223,stpheatingandcooling,https://stpheatingandcooling.com/,,3,"{""Service options"": {""Language assistance"": ""English""}}",1
224,belewservices,http://www.belewservices.com/,mobile,1,{},1
225,tsquareheatingair,,mobile,3,{},1
226,prheatingcoolingsolutionsfairfield,,mobile,1,"{""Offerings"": {""Repair services"": true}}",0
227,ualocal91,http://www.ua91.org/,"fixed line",39,"{""Payments"": {""Credit cards"": true}}",0
228,freshairhvac,http://freshairhvac.co/,mobile,5,"{""Service options"": {""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",1
229,sunbeltrentalsclimatecontrol,https://www.sunbeltrentals.com/location/al/birmingham/hvac-dehumidification-rentals/254/?utm_source=gmb,"fixed line",13,{},1
230,perfectserviceheatingair1,https://www.perfecthvac.com/service-areas/birmingham-al-hvac-company/,"fixed line",10,"{""Planning"": {""Appointment required"": true}}",0
231,zoneaircoheatingandcooling,,landline,1,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Offerings"": {""Repair services"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",1
232,blankenshipheatingcoolingllc,http://bhacllc.com/,mobile,14,"{""Offerings"": {""Repair services"": true}}",1
233,onecallheatingair,,,,{},1
234,enrouteheatingcoolingllc,https://enrouteheatingandcooling.com/,mobile,,{},1
235,peakperformanceheatingairventilationsystemsllc,https://www.peakperformanceac.com/,"fixed line",7,{},1
236,plusoneheatingandair1,https://plusoneheatingandair.com/birmingham-hvac-contractor/,,2,"{""Offerings"": {""Repair services"": true}}",1
237,engleservicesheatingairelectricalplumbing1,https://engleservicesheatingandair.com/birmingham-heating-and-air/,,76,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}}",1
238,guinservicellc,https://www.guinservice.com/?utm_campaign=gmb,voip,24,"{""Offerings"": {""Repair services"": true}}",1
239,emcorservicesaircond,https://www.aircond.com/,"fixed line",1,{},1
240,frozenflamecoolingandheatingservicesllcfrozenflameservices,http://frozenflameservices.com/,mobile,6,{},1
241,tricompany,http://www.tricompanies.com/,mobile,15,{},1
242,beardenmechanicalheatingcooling,,mobile,25,{},1
243,infinityairsolutions,https://www.infinityairsolutions.com/?utm_source=GMB,,48,"{""Service options"": {""Online estimates"": false, ""Language assistance"": ""English""}, ""Planning"": {""Appointment required"": true}, ""Payments"": {""Credit cards"": true}}",1
244,birminghamairllc,https://www.facebook.com/birminghamair,mobile,,{},1
245,climatecontrolspecialists,http://www.climatecontrolspecialists.com/,,1,"{""Offerings"": {""Repair services"": true}}",0
246,walkerheatingandair,,mobile,,{},1
247,budgetservicesllc,,,,{},1
248,calderasheatingandairllc,https://calderasheatingdandair.com/,mobile,10,{},1
249,homewoodheatingair,http://www.homewoodair.com/,mobile,,{},1
250,alabamacoolingandheating,https://www.alabamahvacservices.com/,,16,"{""From the business"": {""Small business"": true}, ""Service options"": {""Onsite services"": true, ""Online estimates"": false, ""Language assistance"": ""English""}, ""Offerings"": {""Repair services"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",1
251,comfortspecialistsllc,,mobile,12,"{""From the business"": {""Identifies as Black-owned"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Offerings"": {""Repair services"": true}, ""Other"": {""Identifies as Black-owned"": true, ""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}}",1
252,dawsontrueheatingcoolingllc,https://www.dawsontruehvac.com/,mobile,31,"{""Offerings"": {""Repair services"": true}}",1
253,alatecheatingcooling,https://www.alatecheatingandcooling.com/,,10,"{""Offerings"": {""Repair services"": true}, ""Planning"": {""Appointment required"": true}}",1
